protocol_value,watai_proportion,merged_proportion,chi2_statistic,chi2_pvalue
1.67,6.5e-05,0.0,400000.0,0.0
1.68,7e-05,0.0,400000.0,0.0
1.69,6e-05,0.0,400000.0,0.0
1.7,3e-05,0.0,400000.0,0.0
1.71,5e-05,0.0,400000.0,0.0
1.72,6e-05,0.0,400000.0,0.0
1.73,8.5e-05,0.0,400000.0,0.0
1.74,3.5e-05,0.0,400000.0,0.0
1.75,1e-05,0.0,400000.0,0.0
1.76,3.5e-05,0.0,400000.0,0.0
1.77,3e-05,0.0,400000.0,0.0
1.78,5e-05,0.0,400000.0,0.0
1.79,5e-05,0.0,400000.0,0.0
1.8,0.000125,0.0,400000.0,0.0
1.81,2.5e-05,0.0,400000.0,0.0
1.82,3e-05,0.0,400000.0,0.0
1.83,2.5e-05,0.0,400000.0,0.0
1.84,3e-05,0.0,400000.0,0.0
1.85,6e-05,0.0,400000.0,0.0
1.86,5e-06,0.0,400000.0,0.0
1.87,3.5e-05,0.0,400000.0,0.0
1.88,5.5e-05,0.0,400000.0,0.0
1.89,3e-05,0.0,400000.0,0.0
1.9,3e-05,0.0,400000.0,0.0
1.91,2.5e-05,0.0,400000.0,0.0
1.92,2e-05,0.0,400000.0,0.0
1.93,1e-05,0.0,400000.0,0.0
1.94,3e-05,0.0,400000.0,0.0
1.95,3e-05,0.0,400000.0,0.0
1.96,6e-05,0.0,400000.0,0.0
1.97,1e-05,0.0,400000.0,0.0
1.98,2e-05,0.0,400000.0,0.0
1.99,4.5e-05,0.0,400000.0,0.0
10.0,2.5e-05,0.0,400000.0,0.0
10.01,1e-05,0.0,400000.0,0.0
10.05,1e-05,0.0,400000.0,0.0
10.06,5e-06,0.0,400000.0,0.0
10.09,5e-06,0.0,400000.0,0.0
10.12,2.5e-05,0.0,400000.0,0.0
10.14,5e-06,0.0,400000.0,0.0
10.15,1e-05,0.0,400000.0,0.0
10.16,1e-05,0.0,400000.0,0.0
10.17,5e-06,0.0,400000.0,0.0
10.18,1e-05,0.0,400000.0,0.0
10.2,5e-06,0.0,400000.0,0.0
10.21,1e-05,0.0,400000.0,0.0
10.22,5e-06,0.0,400000.0,0.0
10.23,1e-05,0.0,400000.0,0.0
10.24,1e-05,0.0,400000.0,0.0
10.26,5e-06,0.0,400000.0,0.0
10.27,5e-06,0.0,400000.0,0.0
10.28,1.5e-05,0.0,400000.0,0.0
10.29,1e-05,0.0,400000.0,0.0
10.3,0.00013,0.0,400000.0,0.0
10.32,1e-05,0.0,400000.0,0.0
10.34,1.5e-05,0.0,400000.0,0.0
10.35,5e-06,0.0,400000.0,0.0
10.36,1e-05,0.0,400000.0,0.0
10.38,5e-06,0.0,400000.0,0.0
10.39,5e-06,0.0,400000.0,0.0
10.4,0.001735,0.0,400000.0,0.0
10.41,5e-06,0.0,400000.0,0.0
10.42,5e-06,0.0,400000.0,0.0
10.43,5e-06,0.0,400000.0,0.0
10.45,5e-06,0.0,400000.0,0.0
10.46,1e-05,0.0,400000.0,0.0
10.48,5e-06,0.0,400000.0,0.0
10.49,1e-05,0.0,400000.0,0.0
10.5,5e-05,0.0,400000.0,0.0
10.51,5e-06,0.0,400000.0,0.0
10.53,5e-06,0.0,400000.0,0.0
10.55,5e-06,0.0,400000.0,0.0
10.57,5e-06,0.0,400000.0,0.0
10.59,5e-06,0.0,400000.0,0.0
10.6,3e-05,0.0,400000.0,0.0
10.61,5e-06,0.0,400000.0,0.0
10.62,1e-05,0.0,400000.0,0.0
10.64,5e-06,0.0,400000.0,0.0
10.67,5e-06,0.0,400000.0,0.0
10.72,5e-06,0.0,400000.0,0.0
10.73,5e-06,0.0,400000.0,0.0
10.75,5e-06,0.0,400000.0,0.0
10.76,1.5e-05,0.0,400000.0,0.0
10.78,5e-06,0.0,400000.0,0.0
10.8,1e-05,0.0,400000.0,0.0
10.81,2e-05,0.0,400000.0,0.0
10.83,1e-05,0.0,400000.0,0.0
10.84,5e-06,0.0,400000.0,0.0
10.85,1.5e-05,0.0,400000.0,0.0
10.87,5e-06,0.0,400000.0,0.0
10.88,1.5e-05,0.0,400000.0,0.0
10.9,0.00039,0.0,400000.0,0.0
10.91,1e-05,0.0,400000.0,0.0
10.92,2e-05,0.0,400000.0,0.0
10.94,1e-05,0.0,400000.0,0.0
10.95,1.5e-05,0.0,400000.0,0.0
10.96,5e-06,0.0,400000.0,0.0
10.97,1e-05,0.0,400000.0,0.0
10.98,5e-06,0.0,400000.0,0.0
10.99,1e-05,0.0,400000.0,0.0
11.0,0.00019,0.0,400000.0,0.0
11.01,5e-06,0.0,400000.0,0.0
11.03,5e-06,0.0,400000.0,0.0
11.04,5e-06,0.0,400000.0,0.0
11.05,5e-06,0.0,400000.0,0.0
11.07,1e-05,0.0,400000.0,0.0
11.08,1e-05,0.0,400000.0,0.0
11.1,1e-05,0.0,400000.0,0.0
11.12,1e-05,0.0,400000.0,0.0
11.16,5e-06,0.0,400000.0,0.0
11.17,1e-05,0.0,400000.0,0.0
11.18,1e-05,0.0,400000.0,0.0
11.21,1e-05,0.0,400000.0,0.0
11.22,5e-06,0.0,400000.0,0.0
11.23,5e-06,0.0,400000.0,0.0
11.24,2e-05,0.0,400000.0,0.0
11.25,1e-05,0.0,400000.0,0.0
11.26,1e-05,0.0,400000.0,0.0
11.27,5e-06,0.0,400000.0,0.0
11.28,1.5e-05,0.0,400000.0,0.0
11.29,1e-05,0.0,400000.0,0.0
11.3,5e-06,0.0,400000.0,0.0
11.32,5e-06,0.0,400000.0,0.0
11.33,1e-05,0.0,400000.0,0.0
11.34,5e-06,0.0,400000.0,0.0
11.35,5e-06,0.0,400000.0,0.0
11.37,5e-06,0.0,400000.0,0.0
11.38,1e-05,0.0,400000.0,0.0
11.39,1e-05,0.0,400000.0,0.0
11.4,0.000125,0.0,400000.0,0.0
11.42,5e-06,0.0,400000.0,0.0
11.43,5e-06,0.0,400000.0,0.0
11.45,1e-05,0.0,400000.0,0.0
11.48,5e-06,0.0,400000.0,0.0
11.49,1.5e-05,0.0,400000.0,0.0
11.5,0.001445,0.0,400000.0,0.0
11.51,5e-06,0.0,400000.0,0.0
11.52,5e-06,0.0,400000.0,0.0
11.55,1.5e-05,0.0,400000.0,0.0
11.56,2.5e-05,0.0,400000.0,0.0
11.57,5e-06,0.0,400000.0,0.0
11.59,5e-06,0.0,400000.0,0.0
11.6,5e-05,0.0,400000.0,0.0
11.61,1.5e-05,0.0,400000.0,0.0
11.62,5e-06,0.0,400000.0,0.0
11.64,5e-06,0.0,400000.0,0.0
11.65,2.5e-05,0.0,400000.0,0.0
11.66,5e-06,0.0,400000.0,0.0
11.67,5e-06,0.0,400000.0,0.0
11.69,5e-06,0.0,400000.0,0.0
11.7,1.5e-05,0.0,400000.0,0.0
11.71,1e-05,0.0,400000.0,0.0
11.72,2e-05,0.0,400000.0,0.0
11.77,3e-05,0.0,400000.0,0.0
11.78,5e-06,0.0,400000.0,0.0
11.8,5e-06,0.0,400000.0,0.0
11.82,5e-06,0.0,400000.0,0.0
11.83,5e-06,0.0,400000.0,0.0
11.84,5e-06,0.0,400000.0,0.0
11.85,1e-05,0.0,400000.0,0.0
11.87,5e-06,0.0,400000.0,0.0
11.88,3e-05,0.0,400000.0,0.0
11.89,5e-06,0.0,400000.0,0.0
11.9,1.5e-05,0.0,400000.0,0.0
11.91,5e-06,0.0,400000.0,0.0
11.92,3e-05,0.0,400000.0,0.0
11.93,5e-06,0.0,400000.0,0.0
11.95,5e-06,0.0,400000.0,0.0
11.96,5e-06,0.0,400000.0,0.0
11.97,5e-06,0.0,400000.0,0.0
12.0,0.000295,0.0,400000.0,0.0
12.01,5e-06,0.0,400000.0,0.0
12.03,2e-05,0.0,400000.0,0.0
12.04,3e-05,0.0,400000.0,0.0
12.05,1.5e-05,0.0,400000.0,0.0
12.07,5e-06,0.0,400000.0,0.0
12.08,1e-05,0.0,400000.0,0.0
12.09,4e-05,0.0,400000.0,0.0
12.1,0.00013,0.0,400000.0,0.0
12.12,5e-06,0.0,400000.0,0.0
12.13,5e-06,0.0,400000.0,0.0
12.14,5e-06,0.0,400000.0,0.0
12.15,5e-06,0.0,400000.0,0.0
12.16,1e-05,0.0,400000.0,0.0
12.17,5e-06,0.0,400000.0,0.0
12.19,5e-06,0.0,400000.0,0.0
12.2,5e-05,0.0,400000.0,0.0
12.22,5e-06,0.0,400000.0,0.0
12.23,5e-06,0.0,400000.0,0.0
12.24,1e-05,0.0,400000.0,0.0
12.25,2e-05,0.0,400000.0,0.0
12.26,5e-06,0.0,400000.0,0.0
12.27,5e-06,0.0,400000.0,0.0
12.28,1e-05,0.0,400000.0,0.0
12.29,5e-06,0.0,400000.0,0.0
12.3,5e-06,0.0,400000.0,0.0
12.31,5e-06,0.0,400000.0,0.0
12.32,5e-06,0.0,400000.0,0.0
12.35,1.5e-05,0.0,400000.0,0.0
12.36,1e-05,0.0,400000.0,0.0
12.37,5e-06,0.0,400000.0,0.0
12.38,1e-05,0.0,400000.0,0.0
12.4,1.5e-05,0.0,400000.0,0.0
12.41,5e-06,0.0,400000.0,0.0
12.44,1e-05,0.0,400000.0,0.0
12.46,1e-05,0.0,400000.0,0.0
12.47,5e-06,0.0,400000.0,0.0
12.48,5e-06,0.0,400000.0,0.0
12.49,1.5e-05,0.0,400000.0,0.0
12.5,8e-05,0.0,400000.0,0.0
12.51,5e-06,0.0,400000.0,0.0
12.52,3.5e-05,0.0,400000.0,0.0
12.53,5e-06,0.0,400000.0,0.0
12.54,5e-06,0.0,400000.0,0.0
12.56,1e-05,0.0,400000.0,0.0
12.58,1.5e-05,0.0,400000.0,0.0
12.6,0.001135,0.0,400000.0,0.0
12.61,1e-05,0.0,400000.0,0.0
12.62,1e-05,0.0,400000.0,0.0
12.65,1e-05,0.0,400000.0,0.0
12.67,5e-06,0.0,400000.0,0.0
12.68,4.5e-05,0.0,400000.0,0.0
12.69,5e-06,0.0,400000.0,0.0
12.7,3e-05,0.0,400000.0,0.0
12.71,1e-05,0.0,400000.0,0.0
12.72,1e-05,0.0,400000.0,0.0
12.73,1e-05,0.0,400000.0,0.0
12.74,5e-06,0.0,400000.0,0.0
12.75,5e-06,0.0,400000.0,0.0
12.76,1.5e-05,0.0,400000.0,0.0
12.78,5e-06,0.0,400000.0,0.0
12.81,5e-06,0.0,400000.0,0.0
12.82,1e-05,0.0,400000.0,0.0
12.84,3.5e-05,0.0,400000.0,0.0
12.87,5e-06,0.0,400000.0,0.0
12.88,5e-06,0.0,400000.0,0.0
12.89,2.5e-05,0.0,400000.0,0.0
12.9,5e-06,0.0,400000.0,0.0
12.91,1.5e-05,0.0,400000.0,0.0
12.92,5e-06,0.0,400000.0,0.0
12.93,1.5e-05,0.0,400000.0,0.0
12.94,5e-06,0.0,400000.0,0.0
12.95,5e-06,0.0,400000.0,0.0
12.96,1e-05,0.0,400000.0,0.0
12.98,5e-06,0.0,400000.0,0.0
12.99,1.5e-05,0.0,400000.0,0.0
13.0,4e-05,0.0,400000.0,0.0
13.02,2e-05,0.0,400000.0,0.0
13.03,5e-06,0.0,400000.0,0.0
13.04,1e-05,0.0,400000.0,0.0
13.05,1.5e-05,0.0,400000.0,0.0
13.09,1e-05,0.0,400000.0,0.0
13.1,0.00023,0.0,400000.0,0.0
13.13,5e-06,0.0,400000.0,0.0
13.14,1e-05,0.0,400000.0,0.0
13.15,5e-06,0.0,400000.0,0.0
13.16,6.5e-05,0.0,400000.0,0.0
13.2,0.000135,0.0,400000.0,0.0
13.21,2e-05,0.0,400000.0,0.0
13.23,5e-06,0.0,400000.0,0.0
13.25,1.5e-05,0.0,400000.0,0.0
13.26,5e-06,0.0,400000.0,0.0
13.27,2e-05,0.0,400000.0,0.0
13.28,5e-06,0.0,400000.0,0.0
13.29,5e-06,0.0,400000.0,0.0
13.3,5e-06,0.0,400000.0,0.0
13.31,5e-06,0.0,400000.0,0.0
13.32,3e-05,0.0,400000.0,0.0
13.33,5e-06,0.0,400000.0,0.0
13.34,5e-06,0.0,400000.0,0.0
13.36,1e-05,0.0,400000.0,0.0
13.37,5e-06,0.0,400000.0,0.0
13.39,5e-06,0.0,400000.0,0.0
13.41,5e-06,0.0,400000.0,0.0
13.43,5e-06,0.0,400000.0,0.0
13.46,5e-06,0.0,400000.0,0.0
13.47,1.5e-05,0.0,400000.0,0.0
13.48,5e-05,0.0,400000.0,0.0
13.51,1e-05,0.0,400000.0,0.0
13.52,5e-06,0.0,400000.0,0.0
13.53,3.5e-05,0.0,400000.0,0.0
13.54,5e-06,0.0,400000.0,0.0
13.57,1.5e-05,0.0,400000.0,0.0
13.58,5e-06,0.0,400000.0,0.0
13.586667,5e-06,0.0,400000.0,0.0
13.59,1.5e-05,0.0,400000.0,0.0
13.6,5e-05,0.0,400000.0,0.0
13.62,1e-05,0.0,400000.0,0.0
13.63,3e-05,0.0,400000.0,0.0
13.64,5e-05,0.0,400000.0,0.0
13.66,1e-05,0.0,400000.0,0.0
13.67,1e-05,0.0,400000.0,0.0
13.69,4e-05,0.0,400000.0,0.0
13.7,0.00108,0.0,400000.0,0.0
13.72,1e-05,0.0,400000.0,0.0
13.73,5e-06,0.0,400000.0,0.0
13.74,1e-05,0.0,400000.0,0.0
13.75,5e-06,0.0,400000.0,0.0
13.76,5e-06,0.0,400000.0,0.0
13.77,5e-06,0.0,400000.0,0.0
13.78,1e-05,0.0,400000.0,0.0
13.79,5e-06,0.0,400000.0,0.0
13.8,0.000205,0.0,400000.0,0.0
13.81,5e-06,0.0,400000.0,0.0
13.83,1e-05,0.0,400000.0,0.0
13.84,2e-05,0.0,400000.0,0.0
13.85,2e-05,0.0,400000.0,0.0
13.88,1e-05,0.0,400000.0,0.0
13.89,1e-05,0.0,400000.0,0.0
13.9,1e-05,0.0,400000.0,0.0
13.92,5e-06,0.0,400000.0,0.0
13.94,5e-06,0.0,400000.0,0.0
13.95,2e-05,0.0,400000.0,0.0
13.96,8.5e-05,0.0,400000.0,0.0
13.97,5e-06,0.0,400000.0,0.0
13.99,5e-06,0.0,400000.0,0.0
14.0,1.5e-05,0.0,400000.0,0.0
14.01,3.5e-05,0.0,400000.0,0.0
14.03,1e-05,0.0,400000.0,0.0
14.05,1e-05,0.0,400000.0,0.0
14.06,5e-06,0.0,400000.0,0.0
14.07,1e-05,0.0,400000.0,0.0
14.08,5e-06,0.0,400000.0,0.0
14.09,5e-06,0.0,400000.0,0.0
14.1,5e-06,0.0,400000.0,0.0
14.11,3e-05,0.0,400000.0,0.0
14.12,9e-05,0.0,400000.0,0.0
14.13,5e-06,0.0,400000.0,0.0
14.14,2.5e-05,0.0,400000.0,0.0
14.15,5e-06,0.0,400000.0,0.0
14.16,1e-05,0.0,400000.0,0.0
14.17,4e-05,0.0,400000.0,0.0
14.19,5e-06,0.0,400000.0,0.0
14.2,0.00016,0.0,400000.0,0.0
14.21,5e-06,0.0,400000.0,0.0
14.22,1e-05,0.0,400000.0,0.0
14.23,5e-06,0.0,400000.0,0.0
14.24,1.5e-05,0.0,400000.0,0.0
14.25,2e-05,0.0,400000.0,0.0
14.26,2.5e-05,0.0,400000.0,0.0
14.27,2.5e-05,0.0,400000.0,0.0
14.28,8.5e-05,0.0,400000.0,0.0
14.29,1e-05,0.0,400000.0,0.0
14.3,5e-05,0.0,400000.0,0.0
14.32,1.5e-05,0.0,400000.0,0.0
14.33,7.5e-05,0.0,400000.0,0.0
14.35,5e-06,0.0,400000.0,0.0
14.37,1.5e-05,0.0,400000.0,0.0
14.38,1e-05,0.0,400000.0,0.0
14.39,1e-05,0.0,400000.0,0.0
14.4,1e-05,0.0,400000.0,0.0
14.42,1.5e-05,0.0,400000.0,0.0
14.43,2e-05,0.0,400000.0,0.0
14.44,0.000335,0.0,400000.0,0.0
14.46,2e-05,0.0,400000.0,0.0
14.47,5e-06,0.0,400000.0,0.0
14.48,3e-05,0.0,400000.0,0.0
14.49,1.5e-05,0.0,400000.0,0.0
14.51,1.5e-05,0.0,400000.0,0.0
14.52,1e-05,0.0,400000.0,0.0
14.53,1.5e-05,0.0,400000.0,0.0
14.54,2e-05,0.0,400000.0,0.0
14.56,5e-06,0.0,400000.0,0.0
14.57,5e-06,0.0,400000.0,0.0
14.58,1.5e-05,0.0,400000.0,0.0
14.59,5e-06,0.0,400000.0,0.0
14.6,7.5e-05,0.0,400000.0,0.0
14.63,2e-05,0.0,400000.0,0.0
14.64,5e-06,0.0,400000.0,0.0
14.65,3.5e-05,0.0,400000.0,0.0
14.666667,5e-06,0.0,400000.0,0.0
14.67,5e-06,0.0,400000.0,0.0
14.68,1.5e-05,0.0,400000.0,0.0
14.69,1e-05,0.0,400000.0,0.0
14.7,3e-05,0.0,400000.0,0.0
14.72,5e-06,0.0,400000.0,0.0
14.73,1e-05,0.0,400000.0,0.0
14.74,2.5e-05,0.0,400000.0,0.0
14.75,3.5e-05,0.0,400000.0,0.0
14.76,0.000195,0.0,400000.0,0.0
14.77,5e-06,0.0,400000.0,0.0
14.78,5e-06,0.0,400000.0,0.0
14.79,1.5e-05,0.0,400000.0,0.0
14.8,0.000885,0.0,400000.0,0.0
14.81,3e-05,0.0,400000.0,0.0
14.82,5e-06,0.0,400000.0,0.0
14.84,5e-06,0.0,400000.0,0.0
14.85,3e-05,0.0,400000.0,0.0
14.86,2.5e-05,0.0,400000.0,0.0
14.88,5e-06,0.0,400000.0,0.0
14.89,5e-06,0.0,400000.0,0.0
14.9,1e-05,0.0,400000.0,0.0
14.91,4.5e-05,0.0,400000.0,0.0
14.918919,5e-06,0.0,400000.0,0.0
14.92,0.00013,0.0,400000.0,0.0
14.95,1e-05,0.0,400000.0,0.0
14.96,2.5e-05,0.0,400000.0,0.0
14.97,5.5e-05,0.0,400000.0,0.0
14.98,5e-06,0.0,400000.0,0.0
14.99,5e-06,0.0,400000.0,0.0
15.01,1e-05,0.0,400000.0,0.0
15.02,4.5e-05,0.0,400000.0,0.0
15.03,1.5e-05,0.0,400000.0,0.0
15.04,1e-05,0.0,400000.0,0.0
15.06,1e-05,0.0,400000.0,0.0
15.07,4e-05,0.0,400000.0,0.0
15.08,0.00031,0.0,400000.0,0.0
15.1,5e-06,0.0,400000.0,0.0
15.11,2e-05,0.0,400000.0,0.0
15.12,1e-05,0.0,400000.0,0.0
15.13,5.5e-05,0.0,400000.0,0.0
15.15,5e-06,0.0,400000.0,0.0
15.16,1e-05,0.0,400000.0,0.0
15.17,1.5e-05,0.0,400000.0,0.0
15.18,3e-05,0.0,400000.0,0.0
15.19,5e-06,0.0,400000.0,0.0
15.2,1e-05,0.0,400000.0,0.0
15.21,5e-06,0.0,400000.0,0.0
15.22,2e-05,0.0,400000.0,0.0
15.23,3e-05,0.0,400000.0,0.0
15.24,0.000235,0.0,400000.0,0.0
15.26,2e-05,0.0,400000.0,0.0
15.27,5e-06,0.0,400000.0,0.0
15.28,3.5e-05,0.0,400000.0,0.0
15.29,6e-05,0.0,400000.0,0.0
15.3,0.00015,0.0,400000.0,0.0
15.31,1e-05,0.0,400000.0,0.0
15.32,1.5e-05,0.0,400000.0,0.0
15.33,1e-05,0.0,400000.0,0.0
15.34,3.5e-05,0.0,400000.0,0.0
15.35,2.5e-05,0.0,400000.0,0.0
15.36,2.5e-05,0.0,400000.0,0.0
15.37,2e-05,0.0,400000.0,0.0
15.38,1.5e-05,0.0,400000.0,0.0
15.39,8e-05,0.0,400000.0,0.0
15.4,0.00036,0.0,400000.0,0.0
15.41,5e-06,0.0,400000.0,0.0
15.42,1.5e-05,0.0,400000.0,0.0
15.43,2e-05,0.0,400000.0,0.0
15.44,1e-05,0.0,400000.0,0.0
15.45,6.5e-05,0.0,400000.0,0.0
15.46,5e-05,0.0,400000.0,0.0
15.48,3e-05,0.0,400000.0,0.0
15.49,3e-05,0.0,400000.0,0.0
15.5,6e-05,0.0,400000.0,0.0
15.51,1e-05,0.0,400000.0,0.0
15.52,2e-05,0.0,400000.0,0.0
15.53,1e-05,0.0,400000.0,0.0
15.54,1.5e-05,0.0,400000.0,0.0
15.55,7e-05,0.0,400000.0,0.0
15.56,0.000275,0.0,400000.0,0.0
15.57,3.5e-05,0.0,400000.0,0.0
15.58,2e-05,0.0,400000.0,0.0
15.59,2e-05,0.0,400000.0,0.0
15.6,6e-05,0.0,400000.0,0.0
15.61,0.00015,0.0,400000.0,0.0
15.62,1.5e-05,0.0,400000.0,0.0
15.63,1.5e-05,0.0,400000.0,0.0
15.64,2e-05,0.0,400000.0,0.0
15.65,1.5e-05,0.0,400000.0,0.0
15.66,5e-05,0.0,400000.0,0.0
15.67,4.5e-05,0.0,400000.0,0.0
15.68,7.5e-05,0.0,400000.0,0.0
15.69,1e-05,0.0,400000.0,0.0
15.7,5e-05,0.0,400000.0,0.0
15.71,7.5e-05,0.0,400000.0,0.0
15.72,0.00049,0.0,400000.0,0.0
15.73,4.5e-05,0.0,400000.0,0.0
15.74,3e-05,0.0,400000.0,0.0
15.75,4.5e-05,0.0,400000.0,0.0
15.76,4.5e-05,0.0,400000.0,0.0
15.77,0.00015,0.0,400000.0,0.0
15.777778,5e-06,0.0,400000.0,0.0
15.78,5e-06,0.0,400000.0,0.0
15.79,0.000105,0.0,400000.0,0.0
15.8,4.5e-05,0.0,400000.0,0.0
15.81,5e-05,0.0,400000.0,0.0
15.82,9.5e-05,0.0,400000.0,0.0
15.83,3.5e-05,0.0,400000.0,0.0
15.84,4.5e-05,0.0,400000.0,0.0
15.846939,5e-06,0.0,400000.0,0.0
15.85,3.5e-05,0.0,400000.0,0.0
15.86,4e-05,0.0,400000.0,0.0
15.87,0.000105,0.0,400000.0,0.0
15.88,0.00053,0.0,400000.0,0.0
15.89,2.5e-05,0.0,400000.0,0.0
15.9,0.00114,0.0,400000.0,0.0
15.91,2.5e-05,0.0,400000.0,0.0
15.92,4e-05,0.0,400000.0,0.0
15.93,0.000225,0.0,400000.0,0.0
15.94,2e-05,0.0,400000.0,0.0
15.95,6e-05,0.0,400000.0,0.0
15.96,4e-05,0.0,400000.0,0.0
15.97,6.5e-05,0.0,400000.0,0.0
15.98,0.000105,0.0,400000.0,0.0
15.99,2.5e-05,0.0,400000.0,0.0
16.0,5e-05,0.0,400000.0,0.0
16.01,9e-05,0.0,400000.0,0.0
16.02,7e-05,0.0,400000.0,0.0
16.03,0.00019,0.0,400000.0,0.0
16.04,0.0008,0.0,400000.0,0.0
16.05,4e-05,0.0,400000.0,0.0
16.06,8e-05,0.0,400000.0,0.0
16.07,7e-05,0.0,400000.0,0.0
16.08,6.5e-05,0.0,400000.0,0.0
16.09,0.00027,0.0,400000.0,0.0
16.1,5.5e-05,0.0,400000.0,0.0
16.11,7.5e-05,0.0,400000.0,0.0
16.12,0.00014,0.0,400000.0,0.0
16.13,5.5e-05,0.0,400000.0,0.0
16.14,0.000115,0.0,400000.0,0.0
16.15,0.0001,0.0,400000.0,0.0
16.16,6e-05,0.0,400000.0,0.0
16.17,0.00015,0.0,400000.0,0.0
16.18,0.000185,0.0,400000.0,0.0
16.19,0.00023,0.0,400000.0,0.0
16.2,0.001115,0.0,400000.0,0.0
16.21,8e-05,0.0,400000.0,0.0
16.22,0.000115,0.0,400000.0,0.0
16.23,0.00028,0.0,400000.0,0.0
16.24,0.00011,0.0,400000.0,0.0
16.25,0.000375,0.0,400000.0,0.0
16.26,5e-06,0.0,400000.0,0.0
16.27,7.5e-05,0.0,400000.0,0.0
