feature,scope,watai_mean,merged_mean,watai_std,merged_std,watai_median,merged_median,watai_min,merged_min,watai_max,merged_max,watai_skew,merged_skew,standardized_mean_diff,ks_statistic,ks_pvalue
UDP,ddos_dos_rows,0.3263446608711822,0.22929595522637208,0.4688750613884847,0.40737997359923495,0.0,0.0,0.0,0.0,1.0,1.0,0.7407318214561052,1.2827527161022987,0.22096442489093465,0.23096138286628143,0.0
Std,ddos_dos_rows,25.15411209327038,47.03336054929397,109.29022410966878,153.22480408062495,0.0,0.0,0.0,0.0,1175.793701171875,2722.13720703125,4.588478996684267,3.8336733050980394,-0.1644029746614494,0.2034975192871875,0.0
TCP,ddos_dos_rows,0.5532169587652829,0.6096699607463022,0.4971598890696776,0.4777798383923532,1.0,0.9900000095367432,0.0,0.0,1.0,1.0,-0.21408387899058554,-0.45196110802634515,-0.11578531511541462,0.18598769764200157,0.0
HTTPS,ddos_dos_rows,0.03436032727441774,0.054107704296356716,0.1821529444835099,0.21658602624119874,0.0,0.0,0.0,0.0,1.0,1.0,5.1126230656978064,4.055112157557343,-0.09868188408610125,0.1783654221791221,0.0
IPv,ddos_dos_rows,0.9999709450978569,0.9975509097204747,0.00539018162548824,0.009739119730232684,1.0,1.0,0.0,0.27000001072883606,1.0,1.0,-185.5117247751627,-17.84321577899387,0.30746320747154304,0.15406955359302854,0.0
LLC,ddos_dos_rows,0.9999709450978569,0.9975509097204747,0.00539018162548824,0.009739119730232684,1.0,1.0,0.0,0.27000001072883606,1.0,1.0,-185.5117247751627,-17.84321577899387,0.30746320747154304,0.15406955359302854,0.0
ARP,ddos_dos_rows,2.905490214308958e-05,0.0024490918965637694,0.00539018162548824,0.009739121638641388,0.0,0.0,0.0,0.0,1.0,0.7300000190734863,185.5117247751627,17.843206290742767,-0.30746336679389413,0.15406955359302843,0.0
syn_flag_number,ddos_dos_rows,0.2715064385663149,0.24435652587048765,0.44473665509304583,0.42153407992274994,0.0,0.0,0.0,0.0,1.0,1.0,1.0275454420813623,1.179453604784508,0.06265980848382102,0.15292931367104012,0.0
psh_flag_number,ddos_dos_rows,0.07170168750871647,0.0988112726121794,0.25799332455921964,0.2866078634491088,0.0,0.0,0.0,0.0,1.0,1.0,3.320227864213379,2.6849798134442997,-0.09942042923753323,0.14390282023621415,0.0
rst_count,ddos_dos_rows,1.2921778486975264,9.22162029367114,38.27110249355587,27.389691393767333,0.0,0.0,0.0,0.0,6922.52001953125,100.0,84.35334871305481,2.8698602805674818,-0.2382776374820311,0.13419971869954084,0.0
ICMP,ddos_dos_rows,0.10258123750639207,0.14404713796252022,0.30341115209901115,0.3445929419153774,0.0,0.0,0.0,0.0,1.0,1.0,2.6196714243642534,2.0294698037661743,-0.12772270082145393,0.12069575951406153,0.0
DNS,ddos_dos_rows,1.1621960857235832e-05,0.0017271588324366772,0.003409079903326067,0.008315154977184784,0.0,0.0,0.0,0.0,1.0,0.5799999833106995,293.3274620822641,23.162941083235953,-0.2699648019103174,0.11093080917256715,0.0
rst_flag_number,ddos_dos_rows,0.055268234856585004,0.09229449236811017,0.22850307891234717,0.274063802501884,0.0,0.0,0.0,0.0,1.0,1.0,3.8925669383563286,2.8683607630290067,-0.14674679076705271,0.10702570085324614,0.0
fin_count,ddos_dos_rows,0.06855725764657619,7.822304392468614,0.2531997700595143,26.59202716587533,0.0,0.0,0.0,0.0,4.619999885559082,100.0,4.452208423097362,3.145714068584704,-0.4123400314487229,0.10336850025745736,0.0
fin_flag_number,ddos_dos_rows,0.0495909069778253,0.07829243561196408,0.21709824716690362,0.26608454079686455,0.0,0.0,0.0,0.0,1.0,1.0,4.149357250921545,3.144100263541713,-0.11819606832314562,0.07834060755140004,0.0
HTTP,ddos_dos_rows,0.05049160894426107,0.07362939354016039,0.2189570879658407,0.25739103352114145,0.0,0.0,0.0,0.0,1.0,1.0,4.105903994538567,3.2715495212134513,-0.09683185802396047,0.07317531179224745,0.0
DHCP,ddos_dos_rows,5.810980428617916e-06,0.00012997314087282339,0.0024105905212466875,0.0016636037308189516,0.0,0.0,0.0,0.0,1.0,0.20000000298023224,414.83129101577055,35.651054264503216,-0.059951212693449635,0.010091890422414762,9.843937554173638e-08
SSH,ddos_dos_rows,0.0,6.0001331051143635e-05,0.0,0.0008928723470552432,0.0,0.0,0.0,0.0,0.0,0.05999999865889549,,19.66070329076185,-0.09503564133531751,0.005253576400481186,0.020889228120158913
IRC,ddos_dos_rows,0.0,2.245778830893034e-05,0.0,0.00048048356378258873,0.0,0.0,0.0,0.0,0.0,0.019999999552965164,,21.92042121406268,-0.06610030228164926,0.0022110375498427537,0.8134318758726815
Telnet,ddos_dos_rows,0.0,2.0945967795821077e-05,0.0,0.0004631976020678826,0.0,0.0,0.0,0.0,0.0,0.019999999552965164,,22.586580900306625,-0.06395126313615732,0.002066154747431437,0.8717310514242016
SMTP,ddos_dos_rows,0.0,2.0945967795821077e-05,0.0,0.0004631976020678826,0.0,0.0,0.0,0.0,0.0,0.019999999552965164,,22.586580900306625,-0.06395126313615732,0.002066154747431437,0.8717310514242016
ece_flag_number,ddos_dos_rows,0.0,1.8519801344254798e-05,0.0,0.00068801219571959,0.0,0.0,0.0,0.0,0.0,0.17000000178813934,,117.71179552316457,-0.038067572633807126,0.001392134753604668,0.9971290230029854
cwr_flag_number,ddos_dos_rows,0.0,6.614214780052829e-06,0.0,0.0004620615788078369,0.0,0.0,0.0,0.0,0.0,0.14000000059604645,,196.69182731155308,-0.0202438650504837,0.00047874317318530313,1.0
