2026-09-25 20:27:10,485 __main__ INFO Mode: manifest
2026-09-25 20:27:10,499 __main__ INFO Replay 1: pre-selected/replay_pcaps_contiguous/Benign_Final/BenignTraffic_contiguous_sample.pcap (expected=Benign_Final, 
2026-09-25 20:27:10,500 __main__ INFO Replay 1: using replay_speed=1.0x MAX_DELAY=0.15000000000000002
2026-09-25 20:27:10,500 TRAFFIC-GEN INFO REPLAY | effective replay_speed=1.0, MAX_DELAY=0.15000000000000002
2026-09-25 20:27:10,513 TRAFFIC-GEN INFO REPLAY | BenignTraffic_contiguous_sample.pcap | 192.168.100.2 -> 192.168.100.1 | speed=1.0x
2026-09-25 20:27:10,517 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=0 (1494B original, 2 chunk(s)) — 1 sent so far
2026-09-25 20:35:01,675 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=25009 (66B original, 1 chunk(s)) — 25000 sent so far
2026-09-25 20:35:13,240 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=25509 (62B original, 1 chunk(s)) — 25500 sent so far
2026-09-25 20:35:26,115 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=26009 (60B original, 1 chunk(s)) — 26000 sent so far
2026-09-25 20:35:35,975 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=26509 (66B original, 1 chunk(s)) — 26500 sent so far
2026-09-25 20:35:46,238 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=27009 (74B original, 1 chunk(s)) — 27000 sent so far
2026-09-25 20:35:55,465 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=27509 (60B original, 1 chunk(s)) — 27500 sent so far
2026-09-25 20:36:08,266 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=28009 (78B original, 1 chunk(s)) — 28000 sent so far
2026-09-25 20:36:17,700 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=28509 (74B original, 1 chunk(s)) — 28500 sent so far
2026-09-25 20:36:31,557 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=29009 (60B original, 1 chunk(s)) — 29000 sent so far
2026-09-25 20:36:34,525 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=29509 (183B original, 1 chunk(s)) — 29500 sent so far
2026-09-25 20:36:39,538 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=30009 (66B original, 1 chunk(s)) — 30000 sent so far
2026-09-25 20:36:44,061 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=30509 (70B original, 1 chunk(s)) — 30500 sent so far
2026-09-25 20:36:47,954 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=31009 (1514B original, 2 chunk(s)) — 31000 sent so far
2026-09-25 20:36:52,044 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=31509 (66B original, 1 chunk(s)) — 31500 sent so far
2026-09-25 20:36:55,155 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=32009 (66B original, 1 chunk(s)) — 32000 sent so far
2026-09-25 20:37:01,090 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=32509 (74B original, 1 chunk(s)) — 32500 sent so far
2026-09-25 20:37:06,256 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=33009 (1494B original, 2 chunk(s)) — 33000 sent so far
2026-09-25 20:37:09,450 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=33509 (1494B original, 2 chunk(s)) — 33500 sent so far
2026-09-25 20:37:13,039 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=34009 (60B original, 1 chunk(s)) — 34000 sent so far
2026-09-25 20:37:17,389 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=34509 (117B original, 1 chunk(s)) — 34500 sent so far
2026-09-25 20:37:22,291 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=35009 (5858B original, 5 chunk(s)) — 35000 sent so far
2026-09-25 20:37:23,332 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=35509 (8754B original, 7 chunk(s)) — 35500 sent so far
2026-09-25 20:37:24,610 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=36009 (4410B original, 4 chunk(s)) — 36000 sent so far
2026-09-25 20:37:25,625 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=36509 (1514B original, 2 chunk(s)) — 36500 sent so far
2026-09-25 20:37:26,941 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=37009 (94B original, 1 chunk(s)) — 37000 sent so far
2026-09-25 20:37:36,614 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=37509 (60B original, 1 chunk(s)) — 37500 sent so far
2026-09-25 20:37:46,605 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=38009 (156B original, 1 chunk(s)) — 38000 sent so far
2026-09-25 20:37:56,673 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=38509 (230B original, 1 chunk(s)) — 38500 sent so far
2026-09-25 20:37:59,709 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=39009 (167B original, 1 chunk(s)) — 39000 sent so far
2026-09-25 20:38:04,472 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=39509 (391B original, 1 chunk(s)) — 39500 sent so far
2026-09-25 20:38:09,122 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=40009 (66B original, 1 chunk(s)) — 40000 sent so far
2026-09-25 20:38:13,939 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=40509 (614B original, 1 chunk(s)) — 40500 sent so far
2026-09-25 20:38:18,951 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=41009 (1494B original, 2 chunk(s)) — 41000 sent so far
2026-09-25 20:38:22,240 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=41509 (66B original, 1 chunk(s)) — 41500 sent so far
2026-09-25 20:38:26,776 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=42009 (70B original, 1 chunk(s)) — 42000 sent so far
2026-09-25 20:38:31,742 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=42509 (66B original, 1 chunk(s)) — 42500 sent so far
2026-09-25 20:38:36,433 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=43009 (752B original, 1 chunk(s)) — 43000 sent so far
2026-09-25 20:38:41,167 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=43509 (66B original, 1 chunk(s)) — 43500 sent so far
2026-09-25 20:38:46,271 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=44009 (83B original, 1 chunk(s)) — 44000 sent so far
2026-09-25 20:38:51,324 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=44509 (167B original, 1 chunk(s)) — 44500 sent so far
2026-09-25 20:38:55,194 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=45009 (66B original, 1 chunk(s)) — 45000 sent so far
2026-09-25 20:39:00,131 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=45509 (66B original, 1 chunk(s)) — 45500 sent so far
2026-09-25 20:39:05,026 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=46009 (66B original, 1 chunk(s)) — 46000 sent so far
2026-09-25 20:39:09,956 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=46509 (774B original, 1 chunk(s)) — 46500 sent so far
2026-09-25 20:39:15,616 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=47009 (1857B original, 2 chunk(s)) — 47000 sent so far
2026-09-25 20:39:20,683 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=47509 (66B original, 1 chunk(s)) — 47500 sent so far
2026-09-25 20:39:25,776 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=48009 (572B original, 1 chunk(s)) — 48000 sent so far
2026-09-25 20:39:31,076 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=48509 (614B original, 1 chunk(s)) — 48500 sent so far
2026-09-25 20:39:36,499 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=49009 (66B original, 1 chunk(s)) — 49000 sent so far
2026-09-25 20:39:42,245 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=49509 (2882B original, 3 chunk(s)) — 49500 sent so far
2026-09-25 20:39:48,566 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=50009 (111B original, 1 chunk(s)) — 50000 sent so far
2026-09-25 20:39:53,154 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=50509 (2866B original, 3 chunk(s)) — 50500 sent so far
2026-09-25 20:39:58,247 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=51009 (167B original, 1 chunk(s)) — 51000 sent so far
2026-09-25 20:40:03,320 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=51509 (85B original, 1 chunk(s)) — 51500 sent so far
2026-09-25 20:40:08,138 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=52009 (218B original, 1 chunk(s)) — 52000 sent so far
2026-09-25 20:40:12,444 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=52509 (66B original, 1 chunk(s)) — 52500 sent so far
2026-09-25 20:40:16,847 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=53009 (66B original, 1 chunk(s)) — 53000 sent so far
2026-09-25 20:40:17,979 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=53509 (2922B original, 3 chunk(s)) — 53500 sent so far
2026-09-25 20:40:19,432 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=54009 (668B original, 1 chunk(s)) — 54000 sent so far
2026-09-25 20:40:25,647 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=54509 (791B original, 1 chunk(s)) — 54500 sent so far
2026-09-25 20:40:31,797 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=55009 (204B original, 1 chunk(s)) — 55000 sent so far
2026-09-25 20:40:38,783 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=55509 (66B original, 1 chunk(s)) — 55500 sent so far
2026-09-25 20:40:43,179 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=56009 (66B original, 1 chunk(s)) — 56000 sent so far
2026-09-25 20:40:51,088 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=56509 (218B original, 1 chunk(s)) — 56500 sent so far
2026-09-25 20:40:58,147 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=57009 (66B original, 1 chunk(s)) — 57000 sent so far
2026-09-25 20:41:08,570 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=57509 (60B original, 1 chunk(s)) — 57500 sent so far
2026-09-25 20:41:20,536 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=58009 (86B original, 1 chunk(s)) — 58000 sent so far
2026-09-25 20:41:32,195 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=58509 (74B original, 1 chunk(s)) — 58500 sent so far
2026-09-25 20:41:42,869 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=59009 (66B original, 1 chunk(s)) — 59000 sent so far
2026-09-25 20:41:56,154 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=59509 (60B original, 1 chunk(s)) — 59500 sent so far
2026-09-25 20:42:08,024 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=60009 (66B original, 1 chunk(s)) — 60000 sent so far
2026-09-25 20:42:18,629 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=60509 (73B original, 1 chunk(s)) — 60500 sent so far
2026-09-25 20:42:24,364 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=61009 (60B original, 1 chunk(s)) — 61000 sent so far
2026-09-25 20:42:36,744 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=61509 (156B original, 1 chunk(s)) — 61500 sent so far
2026-09-25 20:42:46,874 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=62009 (66B original, 1 chunk(s)) — 62000 sent so far
2026-09-25 20:42:57,342 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=62509 (107B original, 1 chunk(s)) — 62500 sent so far
2026-09-25 20:43:07,979 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=63009 (73B original, 1 chunk(s)) — 63000 sent so far
2026-09-25 20:43:19,227 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=63509 (60B original, 1 chunk(s)) — 63500 sent so far
2026-09-25 20:43:29,158 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=64009 (70B original, 1 chunk(s)) — 64000 sent so far
2026-09-25 20:43:37,467 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=64509 (317B original, 1 chunk(s)) — 64500 sent so far
2026-09-25 20:43:48,649 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=65009 (230B original, 1 chunk(s)) — 65000 sent so far
2026-09-25 20:43:57,607 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=65509 (66B original, 1 chunk(s)) — 65500 sent so far
2026-09-25 20:44:06,205 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=66009 (66B original, 1 chunk(s)) — 66000 sent so far
2026-09-25 20:44:14,132 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=66509 (1514B original, 2 chunk(s)) — 66500 sent so far
2026-09-25 20:44:22,351 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=67009 (74B original, 1 chunk(s)) — 67000 sent so far
2026-09-25 20:44:30,366 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=67509 (60B original, 1 chunk(s)) — 67500 sent so far
2026-09-25 20:44:40,257 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=68009 (119B original, 1 chunk(s)) — 68000 sent so far
2026-09-25 20:44:51,491 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=68509 (156B original, 1 chunk(s)) — 68500 sent so far
2026-09-25 20:45:02,581 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=69009 (1494B original, 2 chunk(s)) — 69000 sent so far
2026-09-25 20:45:03,431 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=69509 (66B original, 1 chunk(s)) — 69500 sent so far
2026-09-25 20:45:04,703 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=70009 (110B original, 1 chunk(s)) — 70000 sent so far
2026-09-25 20:45:15,375 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=70509 (60B original, 1 chunk(s)) — 70500 sent so far
2026-09-25 20:45:26,897 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=71009 (97B original, 1 chunk(s)) — 71000 sent so far
2026-09-25 20:45:38,308 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=71509 (70B original, 1 chunk(s)) — 71500 sent so far
2026-09-25 20:45:48,743 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=72009 (60B original, 1 chunk(s)) — 72000 sent so far
2026-09-25 20:45:59,697 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=72509 (73B original, 1 chunk(s)) — 72500 sent so far
2026-09-25 20:46:10,588 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=73009 (66B original, 1 chunk(s)) — 73000 sent so far
2026-09-25 20:46:14,639 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=73509 (66B original, 1 chunk(s)) — 73500 sent so far
